label,L_qw,L_qx,L_qy,L_qz,L_f1,L_f2,L_f3,L_f4,L_f5,R_qw,R_qx,R_qy,R_qz,R_f1,R_f2,R_f3,R_f4,R_f5
O,0.3755,-0.5241333333333333,-0.3416666666666666,0.6837333333333332,0.0,0.4343,0.3479,0.6601,0.8768,0.7665000000000001,-0.1902,0.6041,0.10643333333333332,0.4978,0.1697,0.0,0.1768,0.0
P,0.023000000000000003,0.4627666666666667,0.26496666666666663,-0.8456333333333333,0.0,1.0,0.7715,0.17,0.3554,0.7686666666666667,-0.26933333333333337,-0.5443,-0.20086666666666667,0.0,1.0,0.0,0.5785,0.0
P,0.023633333333333336,0.4711666666666667,0.2672,-0.8401333333333333,0.0,1.0,0.7711,0.1731,0.3509,0.7682333333333333,-0.2652666666666667,-0.5478333333333333,-0.1983,0.0,0.0,0.0,0.6149,0.0
P,0.024966666666666665,0.47113333333333335,0.27053333333333335,-0.8391333333333333,0.0,1.0,0.7673,0.1695,0.3373,0.7677666666666667,-0.26513333333333333,-0.5477,-0.20063333333333333,0.0,0.0,0.0,0.7577,0.4613
Q,0.1918,-0.1144,0.011000000000000001,0.9747,0.0,1.0,0.7282,0.0,0.6965,0.9146333333333333,-0.2218,-0.0482,-0.3346,0.7896,0.0849,0.0,0.0116,0.0
Q,0.1870666666666667,-0.11516666666666665,0.0122,0.9754999999999999,0.0,1.0,0.724,0.0,0.6875,0.9161,-0.22153333333333333,-0.04993333333333333,-0.33043333333333336,0.7966,0.0152,0.0,0.0116,0.0
Q,0.18299999999999997,-0.10963333333333335,0.012633333333333335,0.9769,0.0,1.0,0.724,0.0,0.701,0.9185,-0.21833333333333335,-0.0457,-0.3265,0.9101,0.0,0.0,0.0,0.0
Q,0.18283333333333332,-0.10973333333333334,0.0121,0.9769,0.0,1.0,0.7221,0.0,0.692,0.9186,-0.21833333333333335,-0.046066666666666665,-0.32606666666666667,0.8871,0.0101,0.0,0.0396,0.0
Q,0.18289999999999998,-0.11063333333333335,0.011099999999999999,0.9768,0.0,1.0,0.7248,0.0,0.7085,0.9188,-0.21796666666666667,-0.04753333333333334,-0.32563333333333333,0.8957,0.0,0.0,0.027,0.0
Q,0.1827,-0.11196666666666666,0.010566666666666667,0.9767,0.0,1.0,0.7213,0.0,0.698,0.9189000000000002,-0.2178,-0.04893333333333333,-0.3253,0.8924,0.0,0.0,0.0,0.0
R,0.08700000000000001,-0.5394,0.24226666666666666,-0.8017666666666666,0.0,1.0,0.7506,0.3439,1.0,0.3356666666666666,-0.9236666666666666,0.08096666666666667,-0.16606666666666667,0.2725,0.0,0.0,0.048,0.4259
R,0.09226666666666666,-0.5431333333333334,0.2336666666666667,-0.8011333333333334,0.0,1.0,0.7483,0.3174,1.0,0.3331,-0.9261,0.0807,-0.1575,0.3489,0.0,0.0,0.0508,0.5852
R,0.09306666666666667,-0.5434333333333333,0.23006666666666664,-0.8019,0.0,1.0,0.7426,0.3014,1.0,0.3293333333333333,-0.9277666666666665,0.08143333333333333,-0.15553333333333333,0.3132,0.0,0.0,0.0914,0.8862
R,0.0933,-0.5434333333333333,0.2299,-0.8019333333333334,0.0,1.0,0.7407,0.3034,1.0,0.3284,-0.9278666666666666,0.08253333333333333,-0.15643333333333334,0.3282,0.0,0.0,0.1894,0.7951
R,0.0936,-0.5425666666666666,0.2298,-0.8025666666666668,0.0,1.0,0.7358,0.2951,1.0,0.32739999999999997,-0.9277000000000001,0.084,-0.15836666666666668,0.3403,0.0,0.0,0.1026,0.9545
